,id,admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, optimism, pride, realization, relief,remorse, sadness, surprise, neutral, bad_string,tag_agreement,string,target_string,top_tag,total_tags
541,7726452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--We've been waiting for it for some time and now Meaghan Rath, who by the way has been on many many things on our own Meaghan Rath welcome to the show. <b> That's me juggling and filling up on my crystal ball. </b> Like one of the three witches. I'm going to say that the partnership between brainy and Lex is found out by dreamer because she's not going to be able to let this relationship just go.--7726452", That's me juggling and filling up on my crystal ball. , neutral,1
546,7927793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--So I think they know that they're going to need that first game against Northwestern if they lose that game which is entirely possible. <b> But I mean look if you look up after four weeks and you see Stanford at 1 and 3 or even though in for I wouldn't be completely shocked at this point just because I think this is a don't say a changer because they saw the the quarterback structure there, but they lost a lot of pieces and with David Shaw running the helm look he has a good record. </b>  But as you mentioned be TBS, it's not a guy that I had trust completely.--7927793"," But I mean look if you look up after four weeks and you see Stanford at 1 and 3 or even though in for I wouldn't be completely shocked at this point just because I think this is a don't say a changer because they saw the the quarterback structure there, but they lost a lot of pieces and with David Shaw running the helm look he has a good record. ", neutral,1
5,66956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Opsec tration around the myth. <b> It's a good job. </b> It's a real bug Cena demo. I look at guys, but they say oh that was some people say, you know what I can taste, but I know--66956", It's a good job. ,admiration,1
848,14722748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"--All the people I've taught over the years and I never thought about it that way so that's really incredible to hear. <b> You bring it to a police academy or to some law enforcement firefighters know like a that's that crazy stuff. </b> It must have been even harder back in 2003 2004. Well, I started that day that workout.--14722748", You bring it to a police academy or to some law enforcement firefighters know like a that's that crazy stuff. , neutral,2
943,16907097,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--We go on there and we look at other moms, and we compare ourselves and we're like wow, like they have their shit together. <b> They like everything is perfect for making sugar cookies with their kids. </b> They're doing all these things and it looks like they're so happy all the time. And then I'm sitting here telling ADI don't like all the icing off the spoon.--16907097", They like everything is perfect for making sugar cookies with their kids. , approval,2
135,13001391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--So don't if anybody ever, you know gets up on their photography high horse and says something like you should be making your own presets not using other people's knock their asses down a little bit. <b> Well anyways presets can vary in quality. </b> You will find some online for free some under $15 anywhere from you know, $5 to $150. It all just depends but some of the really popular ones that might be a good starting point for you to learn from would be soul mate or small SMA L greater than Gatsby Mastin labs.--13001391", Well anyways presets can vary in quality. , neutral,1
635,9830466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--I work at a coal mine. <b> It depends on who you're shopping for like my broke college friends love getting gift cards to thing like GrubHub and ubereats. </b> Enjoy those gift baskets that come with bath bombs and lotions and stuff or a new fluffy robe. Also, if you have the spare time and want parent friends to really love you a handmade coupon for a free night of babysitting so they can go to a movie or just get dinner or even stay home and just sleep.--9830466", It depends on who you're shopping for like my broke college friends love getting gift cards to thing like GrubHub and ubereats. , approval,1
429,4929401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--It up not not as strong as performance, but for for a guy that's considered to be a fourth starter also not horrible. <b> Then you go to game for ya done Thunder think things went downhill quickly had the so so Patrick Corbin is the Nationals third starter, but on most teams would probably be a number two had had a really solid year three to five era probably will see some Some say young votes paid him a large sum of money this offseason. </b> I believe it was six years hundred forty million dollars the money that didn't go to some player who's not playing in the postseason in Philadelphia that money went to him and needed better. He's he's struggled overall and in starts this postseason had one rough one one decent one had a couple good Bullpen appearances had one really bad.--4929401"," Then you go to game for ya done Thunder think things went downhill quickly had the so so Patrick Corbin is the Nationals third starter, but on most teams would probably be a number two had had a really solid year three to five era probably will see some Some say young votes paid him a large sum of money this offseason. ", neutral,1
183,1643690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Look out for questions related to this topic on this weekend's question session, and hopefully this episode will have prepared you for that review Thanks so much for listening.-- Sign up for the ortho bullets Core Curriculum today. There will be a link in the show notes for anyone who is interested.<b> Look out for questions related to this topic on this weekend's question session, and hopefully this episode will have prepared you for that review Thanks so much for listening.</b> This is the ortho bullets podcast a daily audio review session by Ortho bullets the free learning and collaboration Community for orthopedic surgery education.--1643690.0"," Look out for questions related to this topic on this weekend's question session, and hopefully this episode will have prepared you for that review Thanks so much for listening.", gratitude,2
147,1345271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-I love to know people in the inside and out God you made me with a fierce passion for relationship for intimacy. <b> I have to stop because I'm about to be sick. </b> I hate a lot of the theme in my journals is God let me be there.--1345271, I have to stop because I'm about to be sick. , nervousness,1
1528,31903261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"--Luther Burbank world-renowned horticulturalist who introduced over 800 varieties of new plants in his effort to improve the quality of plants and thereby increase the world's food supply. <b> He was editor of Ladies Home Journal which he helped to build into the world's most widely circulated magazine. </b> Frank a munzee a telegraph operator who quick to launch Argosy magazine then parlayed his fortune into a newspaper Empire that included the Washington times and the New York Herald. Gary chairman of us steel at the time the largest corporation in the world Gary spearheaded the construction of its first major project the Gary work steel plant and the City of Gary, Indiana.--31903261", He was editor of Ladies Home Journal which he helped to build into the world's most widely circulated magazine. , pride,2
39,358687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?-- I think if you can arm yourself with this much knowledge, that's that's the answer to getting where you want to be because as you said before like you've had clients where they didn't even realize that they were having so many calories, but in their head they were eating practically nothing exactly. And do you typically find that if you get your clients to say track for two to three weeks that it just sort of becomes automatic because I think in the any anytime you start anything new it seems unfamiliar.<b> Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?</b> Definitely I think yeah.--358687.0", Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?, pride,3
56,17202476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,"--But yeah, just don't forget to like really honestly work on yourself and work on just like <b> I don't know like I think just meditating meditating always comes back to that doesn't have but just getting in touch with yourself and like making yourself feel good from the inside out and then it's like everything else really comes into place because it's like we're always looking for something external to like make us feel whole and loved and complete but it's like we can feel good just with ourselves, you know, it's like maybe it'll take a little work to get there, but we can really feel that and then it's like once we have that down. </b> We start establishing clear boundaries, you know toxic relationships are falling off because people are like wow, she she he they are not putting up with my bullshit anymore. You get more opportunities because you're just like, you know, we like to say attracting it but really it's just like I was going to say we're more aligned with it.--17202476"," I don't know like I think just meditating meditating always comes back to that doesn't have but just getting in touch with yourself and like making yourself feel good from the inside out and then it's like everything else really comes into place because it's like we're always looking for something external to like make us feel whole and loved and complete but it's like we can feel good just with ourselves, you know, it's like maybe it'll take a little work to get there, but we can really feel that and then it's like once we have that down. ", relief,3
1547,32418682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"So I know you had to deal with it.-- Coach Chris Garland is a high school Coach and he's involved with a travel program. And I know that all across this country because you know, what in some places the Midwest the best coach might be the only coach around right?<b> So I know you had to deal with it.</b> I know people I don't know if anyone's ever sort of questioned you I know there have been questions.--32418682.0", So I know you had to deal with it.,admiration,1
517,6884862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Because nothing is ever really right or wrong.-- I for a long time. I always was afraid to speak I said this in the first getting to know us just yeah being afraid of being judged to like say your own truth can be kind of scary.<b> Because nothing is ever really right or wrong.</b> So being able to be vulnerable and open up and no on the other end that persons not going to judge you like, you know, hopefully those people in your circle or are going to listen or you know, if they have good advice together.--6884862.0", Because nothing is ever really right or wrong., realization,1
28,7557633,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o you want to bring Morgan Harris Krieger back Marta?-- But if you someone who can control up be called upon to produce a certain amount of goals for you every year and I don't think she's done that yet. No take politics and everything else out of the equation.<b> Do you want to bring Morgan Harris Krieger back Marta?</b> I think I would take.--7557633., Do you want to bring Morgan Harris Krieger back Marta?, approval,1
1441,29358570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"--They want to guide you this go out there compete and win and the goal was to win the World Series right now. <b> I think he did feel bad, but I think he was just kind of an immature kid who was kind of he had a really good year and was kind of a superstar. </b> I mean, he was filthy that year. Yeah, you know and then he just kind of got caught up in it.--29358570"," I think he did feel bad, but I think he was just kind of an immature kid who was kind of he had a really good year and was kind of a superstar. ",admiration,2
1303,26030852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"I'm going to go through with you today.-- And this is my video coaching newsletter and the topic of today's newsletter is going to be finding self-worth again. Well, I got three different emails.<b> I'm going to go through with you today.</b> The first one guy young guy in his early 20s.--26030852.0", I'm going to go through with you today., optimism,2
600,9196321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"It just seems like those that you don't you don't even have to worry about that little conundrum that weird, you know.-- Just better than 4X anyway or for rookie. Yeah, and yeah, it's beyond even baby Wookies just lower it and we'll roof we will farro.<b> It just seems like those that you don't you don't even have to worry about that little conundrum that weird, you know.</b> No, like oh we make this too good, you know the for baby will keys to good.--9196321.0"," It just seems like those that you don't you don't even have to worry about that little conundrum that weird, you know.", confusion,1
9,633503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-They should have seen for the time being even with the loss at the Paralympics after the London Games Oscar Pistorius was bigger than ever. <b> He had succeeded in doing so he was walking proof that we can all fight for what we believe in. </b> But only a few months later his world changed forever. In November of 2012 a mutual friend introduced Oscar to 29 year old reeva.--633503, He had succeeded in doing so he was walking proof that we can all fight for what we believe in. , gratitude,2
251,29649875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"You can just pay your way out of stuff.-- Yeah, and I know some people don't have the education. You know, I'm not putting anybody down because I had to learn myself, but I know for a fact if it was that easy everybody would be doing it.<b> You can just pay your way out of stuff.</b> Let's take a quick break.--29649875.0", You can just pay your way out of stuff., optimism,1
32,8284106,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"I think that is such an effective way to make you trust a character to where they're clearly like they don't say everything perfectly like all the things that matter he's saying, yeah actually but then like all the like just oblivious like just just dumb things to say he still says and I just love the way that Alana and Marko fight because they fight all the time but there it doesn't feel like like toxic fighting like they have reasons to fight.-- I'm getting out of the sin bin with this one. I think and I think that is such a I don't know how intentional it is, but I think<b> I think that is such an effective way to make you trust a character to where they're clearly like they don't say everything perfectly like all the things that matter he's saying, yeah actually but then like all the like just oblivious like just just dumb things to say he still says and I just love the way that Alana and Marko fight because they fight all the time but there it doesn't feel like like toxic fighting like they have reasons to fight.</b> They're in a very stressful situation and information comes up like like if my fiancee said another fiance is dying without dying like on their dying breath said their name, I'd be like, okay.--8284106.0"," I think that is such an effective way to make you trust a character to where they're clearly like they don't say everything perfectly like all the things that matter he's saying, yeah actually but then like all the like just oblivious like just just dumb things to say he still says and I just love the way that Alana and Marko fight because they fight all the time but there it doesn't feel like like toxic fighting like they have reasons to fight.", joy,3
575,8611915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"What if you could crawl faster and burn burn your time fast time?-- I want to see the percentage of people that get down and get back up. Yeah, what do you think about like being able to crawl a little faster be fine with that too?<b> What if you could crawl faster and burn burn your time fast time?</b> I'd be fine with that because like there's definitely been times where it's like if I can just make it to this hatch and fall down.--8611915.0", What if you could crawl faster and burn burn your time fast time?, curiosity,1
230,25768338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--They already had a platform that worked. <b> Yeah, I keep going gaining inside. </b> Maybe they just wanted to do that with the engines to and then went back to the to point out though is from the current WX is still on the 2-liter 4-cylinder turbo in the making 268 horsepower stock. There's a WRX yet w x and then the STI I want to say so 305.--25768338"," Yeah, I keep going gaining inside. ", neutral,1
644,10020081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"In anime, I think anime just in general has inspired me because all of these characters even like Ichigo from Bleach like you have to take a risk to make things happen and like even what we're doing right now is a risk and like we don't know if it's gonna work or not, you know and like that is scary but like lean into that scariness lean into doing those things because at the end of the day it's going to be so worth it and like that's what this anime like that we were watching earlier.-- It's my favorite Ghibli movie. I think it would be like, I don't know like the whole idea again like with friendship and with like journey and like taking risks and like doing all those things where it's like it's so ingrained.<b> In anime, I think anime just in general has inspired me because all of these characters even like Ichigo from Bleach like you have to take a risk to make things happen and like even what we're doing right now is a risk and like we don't know if it's gonna work or not, you know and like that is scary but like lean into that scariness lean into doing those things because at the end of the day it's going to be so worth it and like that's what this anime like that we were watching earlier.</b> She's scared out of her mind, but she's gonna do this thing.--10020081.0"," In anime, I think anime just in general has inspired me because all of these characters even like Ichigo from Bleach like you have to take a risk to make things happen and like even what we're doing right now is a risk and like we don't know if it's gonna work or not, you know and like that is scary but like lean into that scariness lean into doing those things because at the end of the day it's going to be so worth it and like that's what this anime like that we were watching earlier.", optimism,3
139,1293441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-And I think that's where I started getting out of my slow because I was definitely in a depressed place and if anybody's ever seen big mouth. <b> I was comfy with the depression cat. </b> I didn't want to get up. I was gonna I wasn't going to work none of that stuff.--1293441, I was comfy with the depression cat. , neutral,1
1226,23985447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"--It's like for any like relationship issues. <b> I'll tell you what I do. </b> We're going to give you your speeding ticket, right? We're going to put six points on your license and you have to watch Talladega Nights every every month for two years.--23985447", I'll tell you what I do. , neutral,2
650,10128225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--I know that's one of my I know it's one of my Noble drawn to literature later biases, but if you can incorporate that into your evening routine, I think it'll help with connection all sorts of things. <b> Okay, and then also to just Just keep in mind. </b>  I really love just the short description of these age groups.--10128225"," Okay, and then also to just Just keep in mind. ", neutral,1
1539,32116837,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"And so it's important for us to be relaxed.-- So it you know, like that's kind of what we do at our studio. Like we really did create a space where people can genuinely relax and you know, even if they're not coming for the practice, maybe they're just coming to spend time around us.<b> And so it's important for us to be relaxed.</b> It's important for us to live the yoga.--32116837.0", And so it's important for us to be relaxed., caring,2
33,8500944,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Is like nobody really mention it?-- So Lily left Japan early. We don't know we don't know well, but it is.<b> Is like nobody really mention it?</b> I think nobody wants to talk about it.--8500944.0", Is like nobody really mention it?, confusion,2
200,20672036,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, want to send you my love and strength and encouragement.-- Is it not is it not now my love's I hope you have a good holiday season if you celebrate and if you don't I also So hope you have a good time not celebrating and and weathering the storm of other people celebrating compulsively in front of you.<b> I want to send you my love and strength and encouragement.</b> I want to encourage you to act in ways that reflect the person you want to be and not the situation you're in.--20672036., I want to send you my love and strength and encouragement.,admiration,4
37,349493,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip.-- I mean, it's bouncing between like eight eight and nine pounds scale never locked fully but it locked on eight eight eight for like two seconds and I was like, that's an easy now. Remember, that's what I'm going with, you know, eight-eight.<b> So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip.</b> We're going to be fishing the 48 states and everything had been like pretty messed up leading up to it as far as getting everything together and like getting everything ready and I wasn't sure we'd actually be able to do it.--349493.0", So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip., confusion,2
907,16081027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Yeah, it's just kind of get open and going to go I need to do. <b> No you are you do you inspire me and right. </b> So could you tell us just a little bit about yourself then Simon and what it is you do for a Livin. So 30 currently work for a national plan hard company that's not sort of hiring out flowers and stuff.--16081027", No you are you do you inspire me and right. ,admiration,1
1420,28956263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"If you couple this with the fact that lots of people are having babies later and later is this age which couples are wanting to have their children going to carry on increasing-- Alan is kind of joking here, but also kind of not because if it is true and sperm counts do keep dropping to the point where they actually start affecting fertility. This really could open up a whole can of sperms for Humanity particularly.<b> If you couple this with the fact that lots of people are having babies later and later is this age which couples are wanting to have their children going to carry on increasing</b> And if it does the two together are a perfect storm conclusion.--28956263.0", If you couple this with the fact that lots of people are having babies later and later is this age which couples are wanting to have their children going to carry on increasing, disappointment,1
935,16784781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--You and I both did the same thing and that we moved with no family. <b> We were living on our own. </b> So it's either you get up to the plate and like deal with shit. Are you flop are you did you feel because when I moved it didn't feel weird for me, like it didn't feel like I like what you're saying and I think a lot of people can relate to it for me moving by myself.--16784781", We were living on our own. , neutral,1
496,6458782,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Very good favorite tool for running your business favorable for running.-- Setting the table Danny Meyer and in terms of restaurant book setting the table Danny - yeah restaurant business book. Okay restaurants, who are you following right now that you're really impressed with be in a Chicago guy would have to say Melman Richard melman's a case study man.<b> Very good favorite tool for running your business favorable for running.</b> My business right now is touch Bistro.--6458782.0", Very good favorite tool for running your business favorable for running., approval,2
515,6814477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Yeah, what exactly about crystals would you say made that kind of feel like it needed to or could be your thing. <b> I don't really know. </b> All I know is that when I was a kid, I used to collect crystals. I don't know why I think they're very interesting.--6814477", I don't really know. , confusion,1
503,6543379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Well, I don't know what this means but here's what I'm getting.-- I just will just start. Giving words to what I'm getting until the person.<b> Well, I don't know what this means but here's what I'm getting.</b> Here's what I'm feeling here is what I am.--6543379.0"," Well, I don't know what this means but here's what I'm getting.", confusion,1
1606,33882809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"--Is that is that all this Presley or Frank Sinatra us know in the comments below there is no way for them to let us know in the comments unless they're watching the YouTube video. <b> Oh remember is that the original version Billie Holiday's of original Blue Moon is a 1934 song originally composed by Richard Rodgers, okay. </b> Anyways internet but that was so hard. I the only one that I would say now this one right number.--33882809"," Oh remember is that the original version Billie Holiday's of original Blue Moon is a 1934 song originally composed by Richard Rodgers, okay. ", neutral,2
1472,30253559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"--This is this is a simple example of love and fear. <b> You know, I mean dog same thing, you know, but if you are present they love you they are if you are present they resonate with you feel me and presence is presence is everything there. </b> You know, it's good spirit. It's it's like it's like it's like hitting that fry bro.--30253559"," You know, I mean dog same thing, you know, but if you are present they love you they are if you are present they resonate with you feel me and presence is presence is everything there. ", love,1
49,2576070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-It's always connected to something outside of you. <b> It's about you and the person the situation whatever it may be. </b> Ask yourself the critical question about yourself. What did I do?--2576070, It's about you and the person the situation whatever it may be. , neutral,1
233,26017138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"This is the first guys come along in my life.-- What does that tell me? She's like, holy shit.<b> This is the first guys come along in my life.</b> Let me get his number and let me make sure that he's got my number.--26017138.0", This is the first guys come along in my life., optimism,1
65,600372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--It's okay to move it to Sunday to you're not a wimp. <b> So when race day comes, you know that you can run in those conditions, but if you've already proven yourself, Yourself and you feel like it would just be easier on your body to run don't need to be here. </b>  Nobody needs to be a hero.--600372"," So when race day comes, you know that you can run in those conditions, but if you've already proven yourself, Yourself and you feel like it would just be easier on your body to run don't need to be here. ", neutral,1
160,1423716,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-And so they cause bad luck wherever they go. <b> Let's get to that can we come back? </b> So that's the Saving Grace for Lucifer. So we learned that Khloe has really been up to where when she's gone.--1423716, Let's get to that can we come back? , curiosity,1
371,3542251,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hat's a lot of freaking eyeballs on the game that people can go download for free to try out.-- It's a huge win. If you get guys like Lupo and crafty and others to play trials on the weekend and promote the game.<b> That's a lot of freaking eyeballs on the game that people can go download for free to try out.</b> That's a lot of potential people spending money.--3542251., That's a lot of freaking eyeballs on the game that people can go download for free to try out., approval,2
