id,admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, optimism, pride, realization, relief,remorse, sadness, surprise, neutral, bad_string,tag_agreement,string,target_string,top_tag
167847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-But normally I will have maybe four to five Sprints in my day is like a really intense workout routine. <b> And take pictures and enjoy the traveling. </b> You also own your own your typical day. Are you are you doing kind of like a Monday through Friday?--167847, And take pictures and enjoy the traveling. , neutral
170313,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-They stopped him from scoring touchdowns in the Red Zone. <b> They're great on third and fourth down there 15 of 18 on fourth down. </b> I want to say about that. That's about half as many as some of the top teams are going for which means they don't need fourth down all year like they normally do now.--170313, They're great on third and fourth down there 15 of 18 on fourth down. ,admiration
190026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"So I was like, why would I travel alone compete and lose every weekend of those are the three things?-- I don't like traveling alone and not being with my friends or family and I losing is the most terrible thing on the planet and I would probably lose every tournament until I won the whole thing.<b> So I was like, why would I travel alone compete and lose every weekend of those are the three things?</b> I hate most in my life, but my overall goal was to win the fucking was open.--190026.0"," So I was like, why would I travel alone compete and lose every weekend of those are the three things?", confusion
216734,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"You're like, how can I flip this?-- You can't walk off there and be like, oh, well, some people try to blame the audience, but I Yes, but deep down well deep down.<b> You're like, how can I flip this?</b> You know, I mean, they're terrible they are what they are.--216734.0"," You're like, how can I flip this?", curiosity
225284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-It's a metaphorical translation. <b> Even if it wasn't literally what's on the page one thing. </b> I think we should point out. Doubt as well is that the church doesn't want you to read anti-mormon literature or history as some people call it.--225284, Even if it wasn't literally what's on the page one thing. , disapproval
225608,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-So if you've always wanted to start a pod and make money doing it go to Anchor dot f m-- forward slash start. <b> I cannot wait to listen to your podcast. </b> Thank you for listening to hitting the high notes pod coin is the podcast app that pays you for the podcast that you listen to so if you're listening to this podcast on one of the Apple podcast apps or one of the Google podcast apps are you can listen to the podcast on pop coin and they'll pay you for it to give you coins that you can use to get gift cards for retailers kind of works something like I guess we could say Swagbucks that kind of stuff.--225608, I cannot wait to listen to your podcast. ,admiration
242026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-In 1991 among the tens of thousands of visitors to Australia Zoo was Terry rains a veterinarian and animal lover from the United States. <b> And the fast-talking Ozzy who was in there with the deadly creatures Terry. </b> She wrote down her immediate impressions of Steve. I thought there was no one like this anywhere in the world.--242026, And the fast-talking Ozzy who was in there with the deadly creatures Terry. , neutral
243089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-He would not be bound by the 1912 treaty to allow poo you to continue living in the Forbidden City either the boy Emperor left his Imperial home or he would face the consequences not that buoy was really a boy anymore now aged 18. <b> The Imperial Court had given per year stack of photos of girls in 1922 and told him to pick one to be his bride Bowie's First Choice a girl named Wang shu Turned out to be only 12. </b>  So instead hit married Empress Wang wrong and taken the underage Wang Shu as his consort and let's just leave that there because we don't really want to think too much about it as fangs Army approached Palace Reginald Johnson desperately tried to find a foreign Embassy that would Grant puyi Asylum.--243089, The Imperial Court had given per year stack of photos of girls in 1922 and told him to pick one to be his bride Bowie's First Choice a girl named Wang shu Turned out to be only 12. , neutral
265077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--I guess I got lucky that my family supports my decision and they are kind of coming on it, too. <b> If you don't drink milk personally, I really like Black beans. </b> I like soy beans like edamame. I love lima beans.--265077"," If you don't drink milk personally, I really like Black beans. ", approval
265989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"--You're always hyper aware of what decision you're making and why are you making it in? <b> And that becomes really fucking unhealthy, especially when you're not really who you once were and so I'm here now realizing like I and I used to scream this to literally every person poor people who watch my videos my confident videos. </b> I was like, listen write down a list of who the fuck you are get to know that list and then bam that's your story. That's who you are know that person be that person and whatever.--265989"," And that becomes really fucking unhealthy, especially when you're not really who you once were and so I'm here now realizing like I and I used to scream this to literally every person poor people who watch my videos my confident videos. ", realization
268163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"She's like Daddy make me lunch right away sweetie.-- If you're a to you're going to always be coming like like hey, sweetie. What do you need?<b> She's like Daddy make me lunch right away sweetie.</b> Like you're in a bigger lunch.--268163.0", She's like Daddy make me lunch right away sweetie., love
272867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-I've gone into a few stores. <b> In terms of kind of like market and then the past year I've expanded globally. </b> So now I'm in stores in Canada as well as Europe and then going to be in Australia and that kind of area as well. So overall that's just it's kind of like--272867, In terms of kind of like market and then the past year I've expanded globally. , pride
273832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-You're talking about a great number of people and a great number of nice doesn't how many people can you handle? <b> Why is because of love? </b> And very businesslike and during direct with you. So I'm very sorry and I can do.--273832, Why is because of love? , confusion
294687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"--And generally as you're responding to it in your mind, you're already making that plan your, you know, we talked about trying to be as prepared as you can manually and you know thinking ahead and you're doing that windshield survey as you come up. <b> And I mean that was not something that I even thought about on that kind of a call so not being mentally prepared for something like that. </b> Even though it is our job and this is what we do. It was it was a moment and the I you like we just said you kind of have to take that step back and you know assess what's happening and it's like we do with every call but yeah, it was it was crazy.--294687", And I mean that was not something that I even thought about on that kind of a call so not being mentally prepared for something like that. , realization
296676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-We're going to be building upon these neurotransmitters and the functions of the neurons to see all the things that are around us in the world and to hear and touch and feel. <b> Most of them are found in the foods that are around us. </b> So eat a balanced diet beef up your neurotransmitters think happy thoughts activating all those neurons in your brain.--296676, Most of them are found in the foods that are around us. , neutral
298445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"It was a great experience.-- We sit back, and we talked about things that work for us and maybe things that don't work for us. This is clear and show we're learning every day, you know, and this was a great learning experience, you know us with forestry mostly forestry and then a large group of men and women from all over the province.<b> It was a great experience.</b> We learned the time just just by seeing different tactics and training that we can Implement now.--298445.0", It was a great experience.,admiration
307812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-Is it I think it was I think it was like a little bit too much. <b> So for instance in the trailer we see and it's Seems like they're mixing two different types of villains the molten man hydro-man Sandman and then the Elementals so it is it's kind of a mix of those is what I'm hearing from different websites. </b>  There are references to Sandman hydrogen and multi-man in the trailer.--307812, So for instance in the trailer we see and it's Seems like they're mixing two different types of villains the molten man hydro-man Sandman and then the Elementals so it is it's kind of a mix of those is what I'm hearing from different websites. , neutral
312584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-And traveling retrograde through mid-December is a symbol of internal healing that comes with reflection. <b> Your fear is etcetera you form language for those Sensations. </b> You learn to externalize them in a certain way so that You can look at them so that you can work skillfully with these aspects of yourself and over the course of the next nine years with Chiron in your sign.--312584, Your fear is etcetera you form language for those Sensations. , fear
317429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--He restricted the freedom of speech and press and increased the dissemination of pro-government propaganda, unfortunately, <b> Stood Parks motives, but he disagreed with his actions. </b> He saw the imprisonment of student protesters as not only immoral but also impractical since it could spur even more unrest but Kim had his orders any public attempts had Civil Disobedience were met with hostility from the kcia. The record isn't clear on what exactly Kim did but he became known for his overt.--317429"," Stood Parks motives, but he disagreed with his actions. ", neutral
319124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-I can get a built-in audience a million. <b> So are you open to changing your structure on that deal? </b> I don't think so. So I I've just been sitting here with a lot of interest because I have a lot of knowledge on his face.--319124, So are you open to changing your structure on that deal? , curiosity
322549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,e recalled that band and sutt want weren't just his grandmother's bodyguards.-- Killed in the 1984 riots and for the Sikh community at large violence only leads to more violence. The last of the neru Gandhi family line Rajiv and sonja's Son Rahul is currently serving as the president of the congress party on the campaign Trail in 2013.<b> He recalled that band and sutt want weren't just his grandmother's bodyguards.</b> They were his friends.--322549., He recalled that band and sutt want weren't just his grandmother's bodyguards., realization
331474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"I kind of looked at them briefly before this and wrote answers to a few of them, but I didn't want to like waste so much time and then plan it all out.-- Let's get on into the episode. I cannot wait to answer these 73 questions guys.<b> I kind of looked at them briefly before this and wrote answers to a few of them, but I didn't want to like waste so much time and then plan it all out.</b> So I would know exactly what I was saying before even though that is how the videos work well,--331474.0"," I kind of looked at them briefly before this and wrote answers to a few of them, but I didn't want to like waste so much time and then plan it all out.", neutral
334960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-She's kind of retired. <b> Just like five stars. </b> I want to do that one day dad likes my accordion teacher 5 Stars I give mr. Lim who gave me violin lessons.--334960, Just like five stars. , neutral
335059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"I remember telling Max that I needed them and he was like why your sneakers are fine.-- If I were to buy sneakers now, I probably wouldn't have chosen like that color maybe that style but whatever their sneakers they work and I started thinking to myself like I wish I had new sneakers. And that I wish I had new sneakers somehow developed into I need new sneakers, but I don't need new sneakers.<b> I remember telling Max that I needed them and he was like why your sneakers are fine.</b> I was like, how do they fit you?--335059.0", I remember telling Max that I needed them and he was like why your sneakers are fine.,remorse
349493,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip.-- I mean, it's bouncing between like eight eight and nine pounds scale never locked fully but it locked on eight eight eight for like two seconds and I was like, that's an easy now. Remember, that's what I'm going with, you know, eight-eight.<b> So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip.</b> We're going to be fishing the 48 states and everything had been like pretty messed up leading up to it as far as getting everything together and like getting everything ready and I wasn't sure we'd actually be able to do it.--349493.0", So that's that's my PB story that it was actually a really cool thing in the sense that we were so scrambled like going into this giant massive trip., amusement
352780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"In my estimation again, you can kind of challenge me on this.-- Let's say but at the end of the day, you know in a card game game, you're bringing a completely different tool box to the to the problem than your opponent might be so, you know, it's very unlikely to to expect to have a win rate above 65 percent consistently the greatest card players in the world in whatever games that they're playing are most likely going to finish their careers just above 60% on the any type of pro circuit, you know, if you're approaching 70% that's Hall of Fame legendary Worthy.<b> In my estimation again, you can kind of challenge me on this.</b> I completely this is just off the top of my head for the most part but I mean in every single Pro scene I've ever followed or been interested in typically those who attain those top eight are not exactly winning every single Tournament winning every single tournament.--352780.0"," In my estimation again, you can kind of challenge me on this.", pride
358687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?-- I think if you can arm yourself with this much knowledge, that's that's the answer to getting where you want to be because as you said before like you've had clients where they didn't even realize that they were having so many calories, but in their head they were eating practically nothing exactly. And do you typically find that if you get your clients to say track for two to three weeks that it just sort of becomes automatic because I think in the any anytime you start anything new it seems unfamiliar.<b> Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?</b> Definitely I think yeah.--358687.0", Unnatural but the more you do it the better you get and that's always Our advice to our clients to but do you do you find that when you got people new to tracking that it takes about a good two to three to four weeks to really nail it?, approval
361175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-See how it goes for you. <b> Why do we need more contests modifier? </b> It's it's no it's no secret that at this point in time there really isn't a lot of aspirational content the hardcore players don't feel like anything really stays hard. This has been going on since Vault of Glass.--361175, Why do we need more contests modifier? , curiosity
366880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-There is a Sci-Fi version and there's a other versions too. <b> I I think over the years we've learned to not talk too much about future models because things can change right in terms of design or release schedule and taking attention off of what's on our store now can kind of annoy people I think. </b> Like I always looking to future people will be able to appreciate the the watches that they have right now. I'll tell you one thing.--366880, I I think over the years we've learned to not talk too much about future models because things can change right in terms of design or release schedule and taking attention off of what's on our store now can kind of annoy people I think. , realization
367850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-I'm gonna be recapping a few Max winners you're going to <b> Let's have a great weekend. </b> And let's print some fucking money. That'll do it for us here on Full Slate a blue wire gambling podcast Greg Frank and Matt Siegal signing off everybody.--367850, Let's have a great weekend. , optimism
394682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-At the unification is what this is about that that experience. <b> Like that's a big jump is going from daily life in the things that are right and in front of us all the time to making this something that carries value in our life. </b>  That's a big one and I think we've all made that leap or else we wouldn't be here.--394682, Like that's a big jump is going from daily life in the things that are right and in front of us all the time to making this something that carries value in our life. , neutral
405291,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, just think it's he's really speaking from the perspective of an old-- He's definitely asked his his name in the ranks of the hip-hop Elite. He definitely didn't align but and some of his comments.<b> I just think it's he's really speaking from the perspective of an old</b> Head that just doesn't get what's going on nowadays again.--405291., I just think it's he's really speaking from the perspective of an old, annoyance
417814,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"I mean seen what she's doing in the ring and I mean even going up against Ripley in the past.-- I mean she could kill she's got the tenacity. I mean if we're looking at these two, I mean it's an exciting match in itself, but I would believe it.<b> I mean seen what she's doing in the ring and I mean even going up against Ripley in the past.</b> I mean, she's brought it she's hung in there.--417814.0", I mean seen what she's doing in the ring and I mean even going up against Ripley in the past.,admiration
428618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-And so how F Leduc we are how we like to express ourselves through movement. <b> You can also see Mars giving energy to dancers interpreter dancers fire Spinners people who move their body in order to express themselves will see Mars playing a really important role. </b> On those things Mars can also represent our brothers. And it also represents our enemies.--428618, You can also see Mars giving energy to dancers interpreter dancers fire Spinners people who move their body in order to express themselves will see Mars playing a really important role. , approval
437789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"And so my first semester Child Development, I took my first childhood my class.-- To the point where you're like you kind of see yourself in them and you feel even better about what you're doing because you think wow like I'm able to impact this kid's life in a positive way 100% 100% Yeah, and that's I've heard that from every genuine regulator that works at the department. So basically that's exactly why declared as a child development major, but that's when bad idea wasn't in the picture.<b> And so my first semester Child Development, I took my first childhood my class.</b> It was good a lot of memorization, but I feel like that goes with a lot of this song A lot of the classes you have to--437789.0"," And so my first semester Child Development, I took my first childhood my class.", neutral
449400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-They know if you're going to have a conversation and say something to me that is about lack be prepared for me to tell you something that completely shatters that idea because I know it's absolute BS you are a <b> It's there for a reason so charge forward and go get it. </b> Yes feeling that was good. I was really good so good.--449400, It's there for a reason so charge forward and go get it. , optimism
449598,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-And how close are you to 62? <b> And how close are you to see? </b> 62 I'm thinking about this podcast as we speak. This is episode number 12.--449598, And how close are you to see? , curiosity
450662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--Yeah, and I do think also that people can they shy away from doing what you've said like really evaluating because <b> Position so I would just encourage anyone that's listening to really like get honest with yourself and don't be scared of it because you know, yes, it may be an awkward conversation. </b> And yes, it made me really uncomfortable putting boundaries in place, but I'm telling you now the difference you will feel loved the other side of doing that you will be like, oh my God. I wish I'd done this earlier.--450662"," Position so I would just encourage anyone that's listening to really like get honest with yourself and don't be scared of it because you know, yes, it may be an awkward conversation. ", neutral
469801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-You don't know about your ability to create sometimes you want a very broad palette from which to create. <b> We don't want you to continue that bogus flawed premise that there is predetermination of who you are what there is is opportunity to Expand and from the non Physical Realm you are such powerful creative Geniuses all of you. </b> You want to jump in for the purpose of having experiences that caused you to personally launch rockets of Desire understanding that all of that is creative in nature and your intention was to do step one and understand Step 2. And then do your work at step 3 the whole point of being--469801, We don't want you to continue that bogus flawed premise that there is predetermination of who you are what there is is opportunity to Expand and from the non Physical Realm you are such powerful creative Geniuses all of you. , neutral
478573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-But this week's Mission. <b> It's hide-and-seek and the challenges our land at frenzy Farms Slurpee swamp and sweaty Sands Harvest 500 would Under Stone and 300 metal you need to get eliminations at frenzy far more sweaty Sands three in total search chest at Pleasant park or lazy lake Sevan consume foraged items 10 total deal damage to opponents with pickaxes that's 100. </b> You need to hit 10 head shots. You need to visit landmarks in a single match five of them.--478573, It's hide-and-seek and the challenges our land at frenzy Farms Slurpee swamp and sweaty Sands Harvest 500 would Under Stone and 300 metal you need to get eliminations at frenzy far more sweaty Sands three in total search chest at Pleasant park or lazy lake Sevan consume foraged items 10 total deal damage to opponents with pickaxes that's 100. , neutral
482706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--It's up to you. <b> They came back they look yeah on top of that like they went out of state like Knocking anybody hustle, if your family got it, they got it, but my family ain't got it. </b>  So I stayed my black ass right in state and I'm still in debt, but it's not like it's bad.--482706"," They came back they look yeah on top of that like they went out of state like Knocking anybody hustle, if your family got it, they got it, but my family ain't got it. ", annoyance
491818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-We do think of Europe first. <b> I think I saw some dope quote from him about yeah colorism if he tries to put a lot of dark skin characters in his Works past and and going forward. </b>  I mean there are dark skinned characters and cover Bebop and Samurai Champloo and like I think he may like a anime featuring the all black characters like pretty recently or something.--491818, I think I saw some dope quote from him about yeah colorism if he tries to put a lot of dark skin characters in his Works past and and going forward. , neutral
493781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-If I try to read and I got math books are improving on reading a basic physics book chemistry book right now. <b> clubs and things like that Hopefully come up with ways to change the trajectory of studying the science physics chemistry and computer science. </b> That's not the type of things. I'm interested in nowadays.--493781, clubs and things like that Hopefully come up with ways to change the trajectory of studying the science physics chemistry and computer science. , optimism
498681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,nd if you hear this send us a message last week girl.-- You guys are killing it. Please never stop this podcast.<b> And if you hear this send us a message last week girl.</b> Jess was a reviewer and she heard us and she was so happy driving down the road like--498681., And if you hear this send us a message last week girl., optimism
501565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-I hope you enjoyed my conversation with H2 and you'll come back again next week before I end this first episode I picked this day for a special reason January 5th. <b> She always always told me. </b> that I was special and I could do anything and she was always so proud of the tiny things that that I would try and accomplish and so I dedicate me living my life the way I need to for me to her to her.--501565, She always always told me. , neutral
514592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-Whatever Cullen was doing on here. <b> She scanned through the records of all the victims interestingly enough it read that Cullen had logged on multiple times to check on patients. </b> He wasn't assigned to Amy looked at Florian's chart. The morning of fluorines death Cullen logged in multiple times at mere minutes apart.--514592, She scanned through the records of all the victims interestingly enough it read that Cullen had logged on multiple times to check on patients. , realization
522722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-We returned to our story in just a moment. <b> Problem is the likable charismatic Persona wasn't a stick. </b> So how do you tell an actor to stop being himself? You don't not with John he realized on his own that he needed to expand his Ventures first with a dramatic role as Dean Andrews Junior a shady attorney in Oliver Stone's critically acclaimed movie JFK.--522722, Problem is the likable charismatic Persona wasn't a stick. , neutral
